method,MAE,RMSE,R2
Naive Baseline,6.88921594619751,14.123824619238233,0.6032952070236206
Linear Regression,7.520696640014648,12.756752769060688,0.6763742566108704
Dense NN,7.467726230621338,12.28237374093111,0.699995756149292
LSTM,7.012463569641113,12.338920015283133,0.6972270011901855
